old_track_uri,new_track_uri
spotify:track:4ZF3jGBNbIRd24sZ88tZPi,spotify:track:4ZF3jGBNbIRd24sZ88tZPi
spotify:track:7hfiEiXv9u9sXoia7KMYPh,spotify:track:0dPtOlVrqvkg6cstMNxckp
spotify:track:0dPtOlVrqvkg6cstMNxckp,spotify:track:0dPtOlVrqvkg6cstMNxckp
spotify:track:1NbtYZo9zv49dSRHyU3rED,spotify:track:6MEsBAHtg6CiRcwk5BFIlf
spotify:track:6MEsBAHtg6CiRcwk5BFIlf,spotify:track:6MEsBAHtg6CiRcwk5BFIlf
spotify:track:2J85qRmrxqLVeaIHUfQo7K,spotify:track:7vRPKAROaM9aev5jQ3WRwe
spotify:track:7vRPKAROaM9aev5jQ3WRwe,spotify:track:7vRPKAROaM9aev5jQ3WRwe
spotify:track:19424a2v8a88lfWbyublsg,spotify:track:6jYB9DxligWEtHq1K5ExEi
spotify:track:6jYB9DxligWEtHq1K5ExEi,spotify:track:6jYB9DxligWEtHq1K5ExEi
spotify:track:1gieRXgM6XbCdg7BxFnNmJ,spotify:track:666L3SqyCAxOUMyewZI9Ll
spotify:track:666L3SqyCAxOUMyewZI9Ll,spotify:track:666L3SqyCAxOUMyewZI9Ll
spotify:track:59QBQwPLf2AlUEeQOqZv5p,spotify:track:1KJqxYkRqWZdDQHMJ9IQaZ
spotify:track:1KJqxYkRqWZdDQHMJ9IQaZ,spotify:track:1KJqxYkRqWZdDQHMJ9IQaZ
spotify:track:4wYskCaK0ywWfG2xyGIxdE,spotify:track:33jZqgOPG0Fxrron5JQRx1
spotify:track:33jZqgOPG0Fxrron5JQRx1,spotify:track:33jZqgOPG0Fxrron5JQRx1
spotify:track:2lcBJ2pKQcWl8dIkgguqIl,spotify:track:4ZDKqM7I34eoVvdjS55KBi
spotify:track:4ZDKqM7I34eoVvdjS55KBi,spotify:track:4ZDKqM7I34eoVvdjS55KBi
spotify:track:2Hr8GbU3qRT9PgQkQ6wbnX,spotify:track:2s93FwuKG0ljjLdqEpU7Kb
spotify:track:2s93FwuKG0ljjLdqEpU7Kb,spotify:track:2s93FwuKG0ljjLdqEpU7Kb
