spotify_artist_id,artist_name,genre
1BAdSa5cdtCNLbvT7gWmtJ,Conro,canadian electronic
1BAdSa5cdtCNLbvT7gWmtJ,Conro,pop edm
0jUQSUOcM7lxVn5eVGTkzQ,Justine Skye,pop r&b
0jUQSUOcM7lxVn5eVGTkzQ,Justine Skye,r&b
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,alternative metal
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,canadian metal
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,canadian rock
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,nu metal
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,post-grunge
4LE2CElbO1gds922AiSdxb,Asylum,downtempo bass
44uXkGzSX98fieUV6b8pvv,Digital,drum and bass
44uXkGzSX98fieUV6b8pvv,Digital,drumfunk
44uXkGzSX98fieUV6b8pvv,Digital,jungle
44uXkGzSX98fieUV6b8pvv,Digital,neurofunk
2aMY2rqVr7B8k734I1km5m,Spirit,drumfunk
2aMY2rqVr7B8k734I1km5m,Spirit,jungle
0GABmJRgNaIyOYzpslzG2W,Outwild,gaming edm
0GABmJRgNaIyOYzpslzG2W,Outwild,melodic dubstep
0GABmJRgNaIyOYzpslzG2W,Outwild,pop edm
0G57ms4DD5dn6wXwuFOLdO,Twelve'len,indie hip hop
0G57ms4DD5dn6wXwuFOLdO,Twelve'len,miami hip hop
5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,alternative r&b
79PzyYqAyunWsVH4tY4vpr,Pola & Bryson,liquid funk
1GwxXgEc6oxCKQ5wykWXFs,Prodigy,hardcore hip hop
1GwxXgEc6oxCKQ5wykWXFs,Prodigy,queens hip hop
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,atl hip hop
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,pop r&b
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,pop rap
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,r&b
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,rap
4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,trap
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,alternative r&b
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,hip pop
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,r&b
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,urban contemporary
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,alberta country
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,canadian contemporary country
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,canadian country
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,canadian singer-songwriter
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,cowboy western
0qSxGo3EgCGfHWfFDo2zzo,CLB,stateside dnb
0YQBN02bmZvwGNrrWsg2sT,Minus the Bear,indie rock
0YQBN02bmZvwGNrrWsg2sT,Minus the Bear,math pop
0YQBN02bmZvwGNrrWsg2sT,Minus the Bear,post-hardcore
0YQBN02bmZvwGNrrWsg2sT,Minus the Bear,seattle indie
6aVjo0xHSiuW5hkasoYSR3,Melvins,alternative metal
6aVjo0xHSiuW5hkasoYSR3,Melvins,alternative rock
6aVjo0xHSiuW5hkasoYSR3,Melvins,grunge
6aVjo0xHSiuW5hkasoYSR3,Melvins,punk
6aVjo0xHSiuW5hkasoYSR3,Melvins,sludge metal
6aVjo0xHSiuW5hkasoYSR3,Melvins,stoner metal
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,album rock
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,australian rock
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,classic rock
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,glam metal
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,hard rock
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,heartland rock
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,mellow gold
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,new romantic
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,new wave pop
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,soft rock
